Tráfico orgánico y pagado,Vistas,Tiempo de reproducción (horas),Duración promedio de vistas,Ventas totales (USD),Comisiones aprobadas (USD)
Total,1084111,6186.3231,0:00:57,0,0
Pagada,1061927,4659.9964,0:00:40,,
Orgánica,21621,1525.0375,0:04:53,,
