Fecha,Vistas
2026-02-01,106230
2026-02-02,67070
2026-02-03,56009
2026-02-04,31416
2026-02-05,575
2026-02-06,2986
2026-02-07,86670
2026-02-08,112396
2026-02-09,97803
2026-02-10,45928
2026-02-11,57250
2026-02-12,54309
2026-02-13,49350
2026-02-14,70624
2026-02-15,49844
2026-02-16,98073
2026-02-17,41793
2026-02-18,59266
2026-02-19,50336
2026-02-20,56537
2026-02-21,57766
2026-02-22,85383
2026-02-23,64587
2026-02-24,50179
2026-02-25,50660
2026-02-26,38498
2026-02-27,43664
2026-02-28,57766
