,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colombia
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2016,Dependiente,Educación,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2016,Dependiente,Sin información,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2017,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2017,Dependiente,Sin información,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2018,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2018,Dependiente,Sin información,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2019,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2019,Dependiente,Industrias manufactureras,Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2020,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2020,Dependiente,Industrias manufactureras,Entre 11 y 13 SMMLV,Más de 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2021,Dependiente,Actividades financieras y de seguros,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2021,Dependiente,Industrias manufactureras,Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2022,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 11 y 13 SMMLV,Más de 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2022,Dependiente,Otras actividades de servicios,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2014-2,2023,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 11 y 13 SMMLV,Más de 9 SMMLV,1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Femenino,2014-2,2016,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
2829-Corporación Universitaria Minuto de Dios - UNIMINUTO,12165-ESPECIALIZACION EN DISEÑO DE AMBIENTES DE APRENDIZAJE,Femenino,2014-2,2017,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
