,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colombia
1830-Universidad Autónoma de Occidente,53485-INGENIERIA AMBIENTAL,Femenino,2015-2,2020,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
1830-Universidad Autónoma de Occidente,53485-INGENIERIA AMBIENTAL,Femenino,2015-2,2020,Dependiente,Construccion,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1830-Universidad Autónoma de Occidente,53485-INGENIERIA AMBIENTAL,Femenino,2015-2,2020,Dependiente,Educación,1 SMMLV,1 SMMLV,1
1830-Universidad Autónoma de Occidente,53485-INGENIERIA AMBIENTAL,Femenino,2015-2,2020,Dependiente,Educación,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
1830-Universidad Autónoma de Occidente,53485-INGENIERIA AMBIENTAL,Femenino,2015-2,2020,Dependiente,Industrias manufactureras,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
1830-Universidad Autónoma de Occidente,53485-INGENIERIA AMBIENTAL,Femenino,2015-2,2020,Dependiente,Transporte y almacenamiento,"Entre 3 y 3,5 SMMLV","Entre 2,5 y 4 SMMLV",1
2812-Universidad EAN,103012-ESPECIALIZACION EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,Femenino,2015-2,2020,Dependiente,Actividades de atención de la salud humana y de asistencia social,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
2812-Universidad EAN,103012-ESPECIALIZACION EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,Femenino,2015-2,2020,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
2812-Universidad EAN,103012-ESPECIALIZACION EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,Femenino,2015-2,2020,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
2812-Universidad EAN,103012-ESPECIALIZACION EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,Femenino,2015-2,2020,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
2812-Universidad EAN,103012-ESPECIALIZACION EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,Femenino,2015-2,2020,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
2812-Universidad EAN,103012-ESPECIALIZACION EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,Femenino,2015-2,2020,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
2812-Universidad EAN,103012-ESPECIALIZACION EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,Femenino,2015-2,2020,Dependiente,Educación,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
2812-Universidad EAN,103012-ESPECIALIZACION EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,Masculino,2015-2,2020,Dependiente,"Actividades artísticas, de entretenimiento y recreación","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1704-Universidad Santo Tomás,4267-ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Femenino,2015-2,2020,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1704-Universidad Santo Tomás,4267-ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Femenino,2015-2,2020,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
1704-Universidad Santo Tomás,4267-ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Femenino,2015-2,2020,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 3 y 3,5 SMMLV","Entre 2,5 y 4 SMMLV",1
