,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,7 Rangos salariales,17 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,7 Rangos salariales,17 Rangos salariales,Colombia
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2015,Dependiente,Actividades de servicios administrativos y de apoyo,"Entre 2,5 y 4 SMMLV","Entre 3 y 3,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2015,Dependiente,Actividades financieras y de seguros,"Entre 1,5 y 2,5 SMMLV","Entre 1,5 y 2 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2015,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 1,5 y 2,5 SMMLV","Entre 1,5 y 2 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2015,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 1,5 y 2,5 SMMLV","Entre 2 y 2 ,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2015,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 1,5 y 2,5 SMMLV","Entre 2 y 2 ,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2015,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1 SMMLV,1 SMMLV,1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2015,Dependiente,Información y comunicaciones,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2016,Dependiente,Actividades de servicios administrativos y de apoyo,"Entre 2,5 y 4 SMMLV","Entre 3,5 y 4 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2016,Dependiente,Actividades financieras y de seguros,"Entre 1,5 y 2,5 SMMLV","Entre 1,5 y 2 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 1,5 y 2,5 SMMLV","Entre 1,5 y 2 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 2,5 y 4 SMMLV","Entre 2,5 y 3 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2016,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 1,5 y 2,5 SMMLV","Entre 2 y 2 ,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2016,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1 SMMLV,1 SMMLV,1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2016,Dependiente,Industrias manufactureras,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2016,Dependiente,Información y comunicaciones,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2017,Dependiente,Actividades financieras y de seguros,"Entre 1,5 y 2,5 SMMLV","Entre 1,5 y 2 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2017,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2017,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 1,5 y 2,5 SMMLV","Entre 2 y 2 ,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2017,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 2,5 y 4 SMMLV","Entre 2,5 y 3 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2017,Dependiente,Industrias manufactureras,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2017,Dependiente,Otras actividades de servicios,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2018,Dependiente,Actividades financieras y de seguros,"Entre 1,5 y 2,5 SMMLV","Entre 1,5 y 2 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2018,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2018,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 1,5 y 2,5 SMMLV","Entre 2 y 2 ,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2018,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 2,5 y 4 SMMLV","Entre 2,5 y 3 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2018,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2018,Dependiente,Otras actividades de servicios,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2019,Dependiente,Actividades de organizaciones y entidades extraterritoriales,"Entre 1,5 y 2,5 SMMLV","Entre 2 y 2 ,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2019,Dependiente,Actividades financieras y de seguros,"Entre 1,5 y 2,5 SMMLV","Entre 1,5 y 2 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 2,5 y 4 SMMLV","Entre 2,5 y 3 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2019,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,9785-TECNICA PROFESIONAL EN ADMINISTRACION INFORMATICA,Femenino,2009-1,2019,Dependiente,Sin información,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
