,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colomb
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2011,Dependiente,Sin información,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",15
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2011,Dependiente,Sin información,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",8
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2011,Dependiente,Sin información,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",9
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2011,Dependiente,Sin información,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",6
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2011,Dependiente,Sin información,"Entre 3 y 3,5 SMMLV","Entre 2,5 y 4 SMMLV",4
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2011,Dependiente,Sin información,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",4
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2011,Dependiente,Sin información,"Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2011,Dependiente,Sin información,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,3
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2011,Dependiente,Sin información,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,2
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2011,Dependiente,Sin información,Más de 15 SMMLV,Más de 9 SMMLV,1
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2012,Dependiente,Sin información,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",11
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2012,Dependiente,Sin información,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",8
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2012,Dependiente,Sin información,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",11
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2012,Dependiente,Sin información,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",6
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2012,Dependiente,Sin información,"Entre 3 y 3,5 SMMLV","Entre 2,5 y 4 SMMLV",5
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2012,Dependiente,Sin información,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",2
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2010-2,2012,Dependiente,Sin información,"Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,3
