,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colombia
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2015,Dependiente,Información y comunicaciones,1 SMMLV,1 SMMLV,1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2015,Dependiente,Información y comunicaciones,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2016,Dependiente,Actividades de servicios administrativos y de apoyo,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2016,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1 SMMLV,1 SMMLV,1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2016,Dependiente,Sin información,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2016,Dependiente,Transporte y almacenamiento,1 SMMLV,1 SMMLV,1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2017,Dependiente,Actividades de servicios administrativos y de apoyo,1 SMMLV,1 SMMLV,1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2017,Dependiente,"Actividades profesionales, científicas y técnicas",1 SMMLV,1 SMMLV,1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2017,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2018,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2019,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca",1 SMMLV,1 SMMLV,1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2019,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2020,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2021,Dependiente,Actividades de atención de la salud humana y de asistencia social,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2021,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2022,Dependiente,Actividades de atención de la salud humana y de asistencia social,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2014-1,2022,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
