,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colombia
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2016,Dependiente,Actividades financieras y de seguros,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2016,Dependiente,Actividades financieras y de seguros,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,2
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2016,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2016,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2016,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2016,Dependiente,Construccion,1 SMMLV,1 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2017,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2017,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2018,Dependiente,Actividades de servicios administrativos y de apoyo,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2018,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2019,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",2
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2019,Dependiente,Industrias manufactureras,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2020,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",2
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2020,Dependiente,Industrias manufactureras,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Femenino,2015-1,2021,Dependiente,Actividades de servicios administrativos y de apoyo,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
