,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colombia
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2012-2,2013,Dependiente,Sin información,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2012-2,2014,Dependiente,Educación,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2012-2,2015,Dependiente,Educación,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Femenino,2012-2,2016,Dependiente,Educación,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Masculino,2012-2,2021,Dependiente,Industrias manufactureras,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Masculino,2012-2,2022,Dependiente,Industrias manufactureras,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54898-TECNICA PROFESIONAL EN INFORMATICA,Masculino,2012-2,2023,Dependiente,Industrias manufactureras,1 SMMLV,1 SMMLV,1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54612-TECNICA PROFESIONAL EN PROCESOS DEL TALENTO HUMANO,Femenino,2012-2,2013,Dependiente,Sin información,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54612-TECNICA PROFESIONAL EN PROCESOS DEL TALENTO HUMANO,Femenino,2012-2,2014,Dependiente,Educación,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54612-TECNICA PROFESIONAL EN PROCESOS DEL TALENTO HUMANO,Femenino,2012-2,2015,Dependiente,Educación,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54612-TECNICA PROFESIONAL EN PROCESOS DEL TALENTO HUMANO,Femenino,2012-2,2016,Dependiente,Educación,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54897-TECNICA PROFESIONAL EN PROCESOS INDUSTRIALES DE MECATRONICA,Masculino,2012-2,2021,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54897-TECNICA PROFESIONAL EN PROCESOS INDUSTRIALES DE MECATRONICA,Masculino,2012-2,2022,Dependiente,Actividades de servicios administrativos y de apoyo,1 SMMLV,1 SMMLV,1
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,54897-TECNICA PROFESIONAL EN PROCESOS INDUSTRIALES DE MECATRONICA,Masculino,2012-2,2023,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2012-2,2013,Dependiente,Sin información,1 SMMLV,1 SMMLV,6
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2012-2,2013,Dependiente,Sin información,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",15
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2012-2,2013,Dependiente,Sin información,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",19
