,,,,,,,Lugar de grado,,Medidas,,
,,,,,,,País,,Medidas,,
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,Colombia,,,,
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,Graduados,Graduados que cotizan,,Tasa de cotizantes,IBC estimado
3826-Corporación Internacional para el Desarrollo Educativo - CIDE,101510-TECNICA PROFESIONAL EN MANTENIMIENTO INFORMATICO,Masculino,2015-2,2016,No cotizante,Sin información,2,0,,"0,0%",NaN
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2015-2,2016,Dependiente,"Actividades profesionales, científicas y técnicas",1,1,,"100,0%",$1.030.000
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2015-2,2017,Dependiente,Educación,1,1,,"100,0%",NaN
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2015-2,2018,Dependiente,Actividades de servicios administrativos y de apoyo,1,1,,"100,0%",NaN
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2015-2,2019,Dependiente,Otras actividades de servicios,1,1,,"100,0%",NaN
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2015-2,2020,Dependiente,Otras actividades de servicios,1,1,,"100,0%",NaN
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2015-2,2021,Dependiente,"Actividades profesionales, científicas y técnicas",1,1,,"100,0%",NaN
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2015-2,2022,Dependiente,"Actividades profesionales, científicas y técnicas",1,1,,"100,0%",NaN
1815-Corporación Universidad Piloto de Colombia,53439-ESPECIALIZACION EN GERENCIA DE MERCADEO ESTRATEGICO,Masculino,2015-2,2023,Dependiente,"Actividades profesionales, científicas y técnicas",1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2,2,,"100,0%",$4.075.000
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2016,Dependiente,Sin información,2,2,,"100,0%",$2.010.000
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2016,Independiente,Educación,4,4,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2016,Independiente,Sin información,1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2017,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2017,Dependiente,Educación,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2017,Dependiente,Sin información,1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2017,Independiente,Otras actividades de servicios,3,3,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2017,Independiente,Sin información,1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2018,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2018,Dependiente,Educación,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2018,Dependiente,Sin información,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2018,Independiente,Otras actividades de servicios,3,3,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2018,Independiente,Sin información,1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2019,Dependiente,Actividades de servicios administrativos y de apoyo,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2019,Dependiente,Educación,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2019,Independiente,Otras actividades de servicios,3,3,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2019,No cotizante,Sin información,1,0,,"0,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2020,Dependiente,Actividades de servicios administrativos y de apoyo,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2020,Dependiente,"Actividades profesionales, científicas y técnicas",1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2020,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2020,Dependiente,Educación,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2020,Independiente,Otras actividades de servicios,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2020,No cotizante,Sin información,1,0,,"0,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2021,Dependiente,Actividades de servicios administrativos y de apoyo,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2021,Dependiente,"Actividades profesionales, científicas y técnicas",1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2021,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,1,1,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2021,Dependiente,Educación,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2021,Independiente,Otras actividades de servicios,2,2,,"100,0%",NaN
2810-Corporación Universidad de la Costa - CUC,103923-ESPECIALIZACION EN ESTUDIOS PEDAGOGICOS,Femenino,2015-2,2021,No cotizante,Sin información,1,0,,"0,0%",NaN
