,,,,,,,Lugar de grado,,,Medidas,
,,,,,,,País,,,Medidas,
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,Colombia,,,,
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,Gradua,Gradua,Tasa de ,,IBC estimado
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2012,Dependiente,Sin información,42,42,"100,0%",,$1.233.475
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2012,Independiente,Sin información,6,6,"100,0%",,NaN
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2012,No cotizante,Sin información,13,0,"0,0%",,NaN
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2013,Dependiente,Sin información,42,42,"100,0%",,$1.282.193
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2013,Independiente,Sin información,4,4,"100,0%",,NaN
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2013,No cotizante,Sin información,14,0,"0,0%",,NaN
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Actividades de atención de la salud humana y de asistencia social,3,3,"100,0%",,$1.357.667
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,1,1,"100,0%",,$2.086.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Actividades de servicios administrativos y de apoyo,2,2,"100,0%",,$884.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Actividades financieras y de seguros,4,4,"100,0%",,$1.497.250
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,9,9,"100,0%",,$1.297.667
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca",1,1,"100,0%",,$616.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Alojamiento y servicios de comida,2,2,"100,0%",,$1.786.483
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,3,3,"100,0%",,$720.119
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,"Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",1,1,"100,0%",,$962.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Educación,1,1,"100,0%",,$1.326.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Explotación de minas y canteras,1,1,"100,0%",,$3.600.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Industrias manufactureras,2,2,"100,0%",,$1.903.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Información y comunicaciones,2,2,"100,0%",,$957.800
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Otras actividades de servicios,1,1,"100,0%",,$1.327.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Sin información,6,6,"100,0%",,$2.559.079
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Dependiente,Transporte y almacenamiento,1,1,"100,0%",,$1.150.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Independiente,Construccion,1,1,"100,0%",,NaN
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Independiente,Educación,1,1,"100,0%",,NaN
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Independiente,Información y comunicaciones,2,2,"100,0%",,NaN
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,Independiente,Sin información,1,1,"100,0%",,NaN
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2014,No cotizante,Sin información,13,0,"0,0%",,NaN
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Actividades de atención de la salud humana y de asistencia social,3,3,"100,0%",,$1.702.783
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Actividades de servicios administrativos y de apoyo,3,3,"100,0%",,$1.473.333
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Actividades financieras y de seguros,4,4,"100,0%",,$1.534.750
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,8,8,"100,0%",,$1.662.964
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Alojamiento y servicios de comida,1,1,"100,0%",,$1.500.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,4,4,"100,0%",,$1.551.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Construccion,2,2,"100,0%",,$644.675
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,"Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",1,1,"100,0%",,$1.674.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Educación,1,1,"100,0%",,$1.387.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Explotación de minas y canteras,1,1,"100,0%",,$4.856.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Industrias manufactureras,1,1,"100,0%",,$2.320.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Información y comunicaciones,4,4,"100,0%",,$1.151.500
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Otras actividades de servicios,1,1,"100,0%",,$1.570.000
4813-Corporación Unificada Nacional de Educación Superior - CUN,52612-ADMINISTRACION DE EMPRESAS,Femenino,2011-1,2015,Dependiente,Sin información,4,4,"100,0%",,$1.676.750
