Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas,Tiempo de reproducción (horas),Suscriptores,Impresiones,Tasa de clics de las impresiones (%)
qiXAvujGTRA,¡Conoce nuestro nuevo modelo de educación virtual!,,65,41,0.4396,0,0,
R-WCaU9ytTg,MBA virtual #1 de Colombia,"Apr 2, 2024",32,41,0.4874,0,194,3.61
pCGWe94LDWw,Conoce Plan E+ y lleva tu profesión a su próxima parada,"May 31, 2024",138,37,0.8349,0,28,7.14
Lf1I5PHKkbQ,Universidad Ean será anfitriona de la 14 IPMA Research Conference 2026.,"Oct 23, 2025",100,36,0.5204,1,174,1.72
 -S_KuPpfjc8,#Podcast de Administración: aspectos que marcarán la nueva era empresarial,"Jul 27, 2025",1355,36,2.2431,0,85,8.24
CKgxE8a0uxA,¡Nuestros estudiantes eanistas + SIU!,,93,34,0.5461,0,0,
Vfb0BVVuJSM,¿Conoces las diferencias entre el modelo PAT y la metodología virtual?,"Apr 20, 2020",112,31,0.5369,0,19,10.53
Dl2BBtcH71U,Ean Legacy - Empodérate,"Jan 23, 2021",45,29,0.266,0,46,4.35
IIfKIrvkVcg,¿Cómo ser la única carrera de Mercadeo preparada para el sector real?,"Apr 7, 2025",53,29,0.3659,0,56,10.71
kQ6dufWdCiA,Aprende cómo invertir con el Diplomado Trading e Inversiones de la Universidad Ean,"Nov 21, 2022",52,28,0.3078,0,16,0
01fLZ_i63O4,Universidad Ean  Construyendo futuro con propósito,,901,28,2.7023,0,0,
sXxPhn9cV5U,Función Pública - Inscripción página web,,50,27,0.3433,0,0,
nxnA7KyXN9w,Grados Ean 2025: así celebramos tres días que inspiran al futuro,"Dec 7, 2025",129,27,0.4523,0,426,5.87
YSwfeMUX9pw,Paso a paso para realizar la inscripción a un programa de posgrado en la Ean,"Apr 23, 2024",163,27,0.6095,1,47,0
zMH_QLuszgc,"Conoce nuestra Maestría en Mercadeo Digital, ahora de 3 semestres","Dec 18, 2023",23,27,0.1428,0,27,0
T5WOv6ow9H4,¡Te presentamos Ean Sostenibilidad!,"Apr 17, 2024",220,27,0.9237,0,39,12.82
W0TrEykc3DI,Beneficios de la Alimentación Saludable,"Jul 18, 2014",135,27,0.4138,1,97,4.12
K1gorThoKcQ,Himno oficial de la Universidad Ean,"May 3, 2023",121,26,0.7485,0,63,30.16
XYWZT3Vx3kI,Programa de Intercambio Académico Internacional de Corta Duración - Curso de Inmersión,"Oct 27, 2015",158,26,0.7298,0,5,0
O9XDmyrtj-Q,📍Diferenciales del edificio Ean Legacy,"Apr 14, 2021",192,25,0.3668,0,80,16.25
FMdn9O3xGM4,Brigitte Baptiste en Noticias Caracol: desafíos y retos clave de la COP16,"Oct 22, 2024",198,25,0.4093,0,54,1.85
rrnpieSiDCg,¿Tarde? ¡No! Este Semestre aún puedes estudiar en la #Ean ✅,"Feb 27, 2026",41,25,0.0644,0,306,0.98
lSFnglGdPvc,SuperWow: de una idea cotidiana a un negocio en crecimiento | Conoce más en la U del Emprendimiento,"Mar 31, 2026",88,24,0.1509,0,51,1.96
U8eupRCfOFw,Aprende cómo invertir con el Diplomado Trading e Inversiones en la Universidad Ean,"Nov 21, 2022",62,24,0.3061,0,22,4.55
 -V0eZoRl3KQ,"Así se siente estar aquí en #EanOrinoquia, Puerto Carreño 💚","Feb 19, 2026",368,24,1.0523,0,285,4.21
uUULhs1x-KY,"Tu aventura en la U comienza con FUN MATHS , Aprende, juega y conquista las matemáticas.",,127,24,0.4176,1,0,
whVk845VqmI,Conoce todo lo que te ofrece la Maestría en Ciencia de Datos de la Ean 💚,"Nov 18, 2025",43,23,0.0933,0,175,2.29
Q8qlPL_R1-A,¿Aún no sabes qué es Cradle to Cradle®?,"Nov 2, 2017",81,23,0.3973,0,96,9.38
bSXhEFp0xzc,Conoce nuestra nueva carrera en Administración en Salud,"Jan 15, 2024",54,21,0.2643,0,17,11.76
Hk1lESFzKbA,¿Qué significa la intervención a una EPS?,"Apr 4, 2024",998,21,0.9063,0,53,11.32
DvkyCTgzifY,Onbase: Certificados relámpago 🌩️,,103,21,0.2366,0,0,
WvBpTeaFP7M,De la #UniversidadEAN a #Turquía ✈️,"Feb 11, 2026",125,20,0.1132,0,91,8.79
Le8igieHYg4,No pares en el pregrado: #proyectate al siguiente nivel 💚,"Feb 24, 2026",42,20,0.0435,0,165,1.82
DCkGPbAOpwA,Conferencia de Emprendimiento con Mario Hernández,"Mar 1, 2013",3700,20,5.7592,1,424,3.3
2Exlyo1UTa4,Experiencia en nuestro Laboratorio de Realidad Virtual,"Apr 8, 2022",165,19,0.3066,1,130,3.85
MBtoPvgNsfM,Estudia Ingeniería en Ciencia de Datos en la Universidad del Emprendimiento Sostenible. 🌎📈,"Mar 5, 2024",61,19,0.0695,0,103,2.91
cG35F8OwjOw,Maestría en Mercadeo Digital,"Apr 2, 2024",50,19,0.1256,0,269,0.74
goM27E3ixDE,¡Los #GradosEan2025 ya están acá!,"Nov 24, 2025",31,18,0.0685,0,120,2.5
gw_KvYuQRsY,Convierte tu pasión por la cultura con el programa en Gestión Cultural en Universidad Ean.,"Feb 19, 2026",76,18,0.1295,0,157,2.55
aKLZVN-5Kp8,EANista: realiza tu proceso de matrícula ahora desde SAP,"Nov 14, 2017",566,18,0.6077,0,47,21.28
y8gMHsu8U9I,"¿Pensando en un MBA en el exterior? Crece profesionalmente sin ir tan lejos, en la Universidad Ean.","Feb 18, 2026",90,18,0.0979,0,127,0
owUJQhEn7Pk,Especialización Fintech en la Universidad Ean,"Apr 2, 2024",59,17,0.1325,0,137,1.46
Lh4fOu7ijN0,"NEU Energy, el primer comercializador de energía digital en Colombia","Aug 24, 2023",148,17,0.2392,0,14,7.14
pU8JQHsfS1A,"Trabajó, estudió y no se rindió: esta es la historia de Jonathan, hoy profesional en Economía","Feb 19, 2026",105,17,0.0641,0,206,1.46
BhFoTpsfCN0,5 tips para escoger tu posgrado,"Nov 22, 2022",138,17,0.3284,0,104,3.85
edrmw7kPOew,4Prot: una experiencia con la realidad virtual,"Apr 26, 2022",345,16,0.5339,0,160,1.88
mr5xK3AhEKg,"Ean Legacy, más que un referente de construcción sostenible","Apr 1, 2019",93,16,0.2063,0,25,12
UVc0p107oE4,¡Impulsa tus habilidades y llega más lejos! Somos Educación Continua de la U Ean,"Mar 21, 2024",64,16,0.1705,0,26,0
Gnv5Ntyux6Q,Razones para estudiar la Maestría en Ciencia de Datos en la #UniversidadEan,"Nov 18, 2025",44,16,0.1612,0,152,5.92
M1CGs4Arlis,Bienvenidas Eanistas 2026-1 | Revive la experiencia Ean e inscríbete en el Ciclo II,"Feb 9, 2026",153,16,0.4417,0,247,5.67
LRJShEI8CW8,¿En qué caneca va eso? ABC de la separación de residuos,"Dec 19, 2023",246,15,0.5835,0,13,0
YC_BErgQOhI,Transiciones socioecológicas: Urbanismo y Sostenibilidad en Bogotá (español),"Mar 22, 2024",11415,15,0.2306,0,33,12.12
VxQL4wiXkfY,NeuroLab Ean,"Apr 2, 2024",51,15,0.1382,0,156,1.28
S9GKmpIvKeI,Brigitte Baptiste y sus retos en la Universidad Ean / Guía Académica,"Oct 29, 2019",721,15,0.4604,0,194,5.67
 -f7W27iVkBA,Tu MBA empieza aquí. Descubre lo que la Universidad Ean tiene para ti.💚,"Feb 19, 2026",102,15,0.2435,0,210,5.24
aynGFTAs2RQ,¡Despedimos el 2025! Gracias a toda nuestra comunidad #Eanista 💚,"Dec 4, 2025",67,15,0.1425,0,154,6.49
inSaViuBcj0,"Moviid, una empresa que promueve la independencia de las personas con discapacidad","Dec 1, 2023",145,15,0.3695,0,9,0
zpSHw-rkl5s,Así celebramos los #GradosEan2025,"Nov 24, 2025",22,14,0.0312,0,82,4.88
6JAr_q-t9UE,"¿Pensando en un MBA en el exterior? Crece profesionalmente sin ir tan lejos, en la Universidad Ean.","Feb 19, 2026",90,14,0.1893,0,186,5.38
Gr2bChGso_M,Becas del 50% OFF para estudiar Ingeniería en 2026 en la #Ean,"Nov 24, 2025",48,14,0.0576,0,76,1.32
KIwB-QV1mn0,¡Así de fácil funciona la máquina de autopréstamo de la Biblioteca!,"May 25, 2023",80,14,0.145,0,18,5.56
sStUZOSEJ-o,Día del Contador: mensaje de Diego Matituy,"Mar 1, 2019",29,14,0.022,0,156,1.28
gY1jKuSFUzg,Así transforma la Universidad Ean su campus con movilidad eléctrica,"Aug 4, 2025",144,13,0.2626,0,105,1.9
cnMTsH_y940,Firmamos una alianza con Open AI para transformar el aprendizaje en Colombia.,"Aug 26, 2025",56,13,0.1689,0,73,0
IiGxPbxwnxU,No es casualidad. Algo grande viene en la Ean,"Jan 6, 2026",29,13,0.0645,0,104,0.96
FuL8Uoq2D5M,Charla de Liderazgo: Human Management - Paula Amado,"Jul 8, 2025",2113,12,2.2761,0,105,4.76
TImEz0Au6Ak,"Ingeniería Salvaje: el podcast donde la ingeniería, el emprendimiento y las ideas se encuentran","Jun 10, 2025",1702,12,1.518,0,71,1.41
55g96p6B4l8,¡Brigitte Baptiste celebra un año como rectora de la Universidad Ean!,"Sep 11, 2020",95,12,0.1155,0,40,12.5
28l2B7ZdhHo,Paso a paso para realizar la inscripción a un programa de pregrado en la Ean,"Apr 11, 2024",163,12,0.175,0,39,2.56
DLiO6Wf0ewo,#PEI en 60s: la brújula de la #universidadean,,102,12,0.1989,0,2,0
zy5PjMYcc7w,Conoce nuestra nueva Especialización en Gestión del Aprendizaje Digital,"Dec 18, 2023",37,12,0.1031,0,24,0
KgGIzpyBoOA,Las islas no solo son destino: son talento y futuro con la #Ean 💚,"Feb 10, 2026",52,11,0.0543,0,102,2.94
K11lFJK-r-w,"Universidad Ean, referente de educación virtual en Colombia","Jun 19, 2024",218,11,0.2254,0,162,5.56
VdqmFdMBzzs,Conoce nuestra nueva Especialización en Psicología Educativa,"Dec 18, 2023",52,11,0.1137,0,18,0
elILiAakjVg,Beneficios de utilizar paneles solares,"Mar 11, 2024",175,11,0.2217,1,14,0
MVanakGbfxY,Confianza y educación financiera para estudiantes de la Ean con #FogafínEnLaU,"Sep 3, 2025",47,11,0.0282,0,56,0
