Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas,Tiempo de reproducción (horas),Suscriptores,Impresiones,Tasa de clics de las impresiones (%)
aOgqKJM_LV4,Universidad Ean presente en el Congreso de la Bogotaneidad 2025,"Oct 22, 2025",40,5,0.0106,0,42,0
Ac0FeqhyjfA,Panorama de la educación virtual en Colombia,"Jun 17, 2024",136,5,0.0554,0,38,0
62f3duRHm80,¿Cómo gestionar correctamente los residuos sólidos? #SemanaDeLaSostenibilidad,"Jun 1, 2022",220,5,0.0179,0,11,0
cSekHZEl6S4,Maestría en Proyectos de Desarrollo Sostenible Metodología Virtual,"Aug 11, 2015",94,5,0.0605,0,38,7.89
JKmuVkYrymc,"La ingeniería creativa, innovadora y emprendedora transforma todo. Descúbrelo en nuestro podcast.","Jun 18, 2025",26,5,0.0268,0,102,1.96
tLZl9lu-q_8,Oportunidades de Internacionalización para estudiantes virtuales,"May 3, 2023",120,5,0.0844,0,63,6.35
uOVZZxbn4Hw,"Nos morimos sin abejas, ¿lo sabías? / Semana","Oct 31, 2017",102,5,0.0972,0,13,7.69
MFD4v7x11mU,EANista de metodología virtual: realiza tu proceso de matrícula ahora desde SAP,"Nov 16, 2017",493,5,0.1162,0,32,6.25
OYK-cZbLmt4,Escuela de padres Ean - capítulo 1 | Mitos y realidades sobre la influencia de las redes en la niñez,"Dec 5, 2025",4350,5,0.4651,0,155,2.58
oTZ-0DCKopQ,Nuestro Bosque Ean,"Feb 9, 2024",106,5,0.1459,0,18,0
zZ07Ku9xEi8,¡Inicia tu carrera en 2025 con la Universidad Ean!,"Dec 10, 2024",189,5,0.1095,0,69,1.45
yhYV0OCoGmo,Conoce las novedades del modelo Ean Virtual 2.0,,177,5,0.1214,0,0,
-4naLp1coRM,Conoce el Campus virtual de la Universidad EAN en Second Life,"Aug 16, 2017",223,5,0.1305,0,39,2.56
plaEdtbZR9g,6 opciones que te ofrece la Universidad Ean para realizar el trabajo de grado en tu Maestría,"Feb 26, 2024",108,5,0.0909,0,15,13.33
onJgWK6E-rM,Racionamiento de agua en Bogotá,"Apr 8, 2024",45,5,0.0198,0,20,0
Q4E78oZov1M,Bernardo Kliksberg en la Universidad EAN - Ética para empresarios,"Oct 13, 2016",515,4,0.0569,0,52,3.85
3eemB_wd1bU,"Estudia para transformar realidades, no solo para traducirlas","Jul 2, 2025",1705,4,1.0599,0,74,2.7
YgssodXqqkI,Conoce la historia de uno de los fundadores de la Universidad Ean,"Jan 24, 2019",204,4,0.0701,0,46,6.52
CSY5x5YqLJ4,"La Navidad llegó a la Ean. Un tiempo para  compartir y celebrar juntos.¡Felices fiestas, Eanista!","Dec 6, 2025",48,4,0.0005,0,18,0
Z9wLeg4RTKg,"Somos eanistas y, obvio, ¡tenemos cosas por contar! El Altavoz: mayo 2024","Jun 14, 2024",193,4,0.028,0,58,5.17
58fenEfeuXo,#OrgulloEanista es tener #5EstrellasEan de rating #QSStars 🌟💚,,99,4,0.0287,0,0,
qmgf2jAlxyY,"¿Cómo encontrar Ebooks de MacGraw Hill, Cengage y Pearson?","Aug 14, 2019",279,4,0.1192,0,1,0
_mvDxje-bd4,¿Uso de tapabocas obligatorio por nueva variante de Covid-19?,"Jan 17, 2024",1910,4,0.0457,0,13,7.69
lLXdEBqcolM,Ean Campuslands Bogotá,"Jul 12, 2024",463,4,0.0656,0,30,0
tvSnZB5uB0Q,¿Cómo prevenir el consumo de fentanilo?,"Sep 27, 2023",2011,4,1.1222,0,42,4.76
5r-PqYRzP2Y,"La apropiación cultural en la moda, ¿qué es?","Jul 31, 2018",114,4,0.1459,0,21,19.05
AwldBjt4T4c,Tres mitos sobre sobre las estrategias de marketing y publicidad en internet,"Jun 28, 2019",65,4,0.0551,0,25,0
vePOtoq4Cc8,Bisvita Basura Cero,"Apr 9, 2024",97,4,0.0906,0,21,9.52
fXYrdXOW-i0,Beneficios y ventajas de la convalidación de títulos,"Aug 25, 2023",297,4,0.1924,0,31,0
tlXZEFTAxJs,Invierte tu prima en tu futuro. Cursos y diplomados que impulsan tu perfil profesional con la Ean.,"Dec 22, 2025",30,4,0.0081,0,22,4.55
7x3a1bY16k0,#PodcastEan | El arte como estrategia: la historia de Nathalia Velasco y Simone,"Sep 24, 2025",1615,4,1.362,0,91,1.1
rpBo1R7SZNM,"José Alba, nuevo Decano de la Facultad de Administración, Finanzas y Ciencias Económicas de la Ean","Nov 28, 2023",137,4,0.0947,0,13,15.38
E3qfnns1uq8,Programa de Intercambio Académico Internacional de Largo Plazo para estudiantes extranjeros.,"Oct 27, 2015",110,4,0.1027,0,24,4.17
rNKgyRIy9F8,Mitos y verdades de la ingeniería en la era de las IA,"Aug 4, 2025",1400,4,0.7912,0,78,0
1aZ2e1R5Upo,Te decimos cómo interpretar los resultados de tus pruebas Icfes Saber 11°,"Oct 18, 2019",49,4,0.0302,0,23,0
0OB1GHmy2EU,Arquitecto del edificio #EANLegacy nos cuenta su inspiración.,"Sep 29, 2017",56,4,0.0267,0,16,18.75
3FPBB7DqE-w,"Vive la Semana E 2025 en la Universidad Ean | Talleres, hackatones y networking","Oct 2, 2025",100,4,0.0283,0,82,1.22
hat7gWOde-8,"Conferencia:  Educación Virtual, clave para el desarrollo integral","Sep 16, 2015",2237,4,0.043,0,5,0
5wl_UsiPUc8,Especialización en Gerencia de Proyectos | SNIES: 54013 - 106465 | Vigilada Mineducación,"Jan 14, 2020",15,4,0.0147,0,38,10.53
FnxNCvASXco,"Una historia real de #UEAN: crecer, volver y construir conocimiento. + #QSStars 🌟💚","Jan 24, 2026",98,4,0.0058,0,60,0
hBJVPHx0NkQ,Análisis internacional sobre los desafíos actuales de los sistemas de salud | Universidad Ean,"Jan 5, 2026",2445,4,1.3981,0,122,1.64
7ZQ_QFQ2O6E,Historias que inspiran: Conceptos Plásticos. #EANistasCambiandoVidas,"Aug 1, 2017",30,4,0.0497,0,21,0
xVqnaHVflI8,¿Cómo hacer búsquedas básicas en Ebook Central?,,421,4,0.1174,0,0,
7iwJ-nGIaBk,¡Conoce nuestra nueva aula virtual: Canvas!,"Jan 9, 2020",48,4,0.0341,0,14,7.14
4zXF1XIm0R0,¡Aprende cómo cuidar la capa de ozono!,"Sep 24, 2020",103,4,0.0624,0,9,11.11
cWo5CFhNCAU,Lidera y emprende con el programa en Administración de Empresas,"Dec 30, 2025",46,4,0.0105,0,31,6.45
A-LeiNxckxg,"Meet Sophie Morley, the new Fulbright assistant at Universidad Ean",,60,3,0.0219,0,0,
B_hN43iu7wQ,Ceremonias de Graduación de Grado 2018 | Universidad EAN,"Oct 24, 2018",48,3,0.0155,0,10,20
 -X0i06xNUmc,Somos 5 Estrellas a nivel mundial 🌍🌟#QSStars #Ean,"Jan 20, 2026",46,3,0.0085,0,40,2.5
0bb9sc6_Brg,'Detalles que Enamoran' con David Gómez,"Feb 2, 2018",27,3,0.0222,0,60,1.67
CPX85oQS-Yo,Maestría en Ingeniería de Procesos Metodología Presencial,"Aug 11, 2015",116,3,0.0407,0,18,16.67
Coik77aidW8,Conoce a la Universidad EAN,"Apr 27, 2017",123,3,0.0883,0,126,2.38
7I9TSr6HUnI,¡El Altavoz en 60 segundos! Edición marzo de 2023,"Apr 18, 2023",87,3,0.0174,0,24,8.33
ZiS5rscNHA0,Así puedes identificar a los VENDEHÚMOS FINANCIEROS | 🎧 Podcast U. Ean,"Sep 8, 2025",3354,3,1.8745,0,153,0.65
sxJdIxfYQHw,Conviértete en experto en Machine Learning y transforma datos en decisiones,"Jan 3, 2026",52,3,0.0034,0,35,2.86
6Bop26zwz0U,El mundo según Brigitte,"Dec 14, 2023",444,3,0.2501,0,30,0
PU_lgVAXVAU,"¿Qué programas virtuales ofrece la Universidad EAN, y cuál es su validez y legalidad?","Jul 30, 2012",144,3,0.0446,0,25,8
33DnBvX655A,¿Dormir para aprender mejor? 😱,"Sep 9, 2021",70,3,0.0238,0,7,0
YIG5APfhjlk,Maestría en Administración de Empresas MBA Metodología Virtual,"Aug 10, 2015",135,3,0.0671,0,39,7.69
0JHn1OeP12Y,¿Cómo buscar en SAGE Journals?,,272,3,0.0801,0,0,
zgijcTLck44,Bernardo Kliksberg en la Universidad EAN - Ética para empresarios II,"Oct 13, 2016",376,3,0.0041,0,13,0
buDjyudPDyI,Maestría en Gestión de Proyectos Metodología Presencial,"Aug 10, 2015",117,3,0.053,0,41,7.32
woLftFF1cnU,"Transforma datos en decisiones. Con la #MaestríaEnCienciaDeDatos desarrollas #mlops , #iagenerativa","Dec 23, 2025",43,3,0.0083,0,16,6.25
kvty5H9OZYU,Turismo Sostenible,"Jul 3, 2024",8481,3,0.0121,0,68,2.94
QhEkWGLeMdY,"Shelly- Ann Mohammed, de ACCA, visitó la Universidad Ean","Nov 11, 2022",191,3,0.1152,0,11,0
1w0n2is37Qc,"¡Disfruta GRATIS el curso 'Aprender a Perdonar', con Fred Luskin!","Jul 1, 2021",40,3,0.0292,0,27,3.7
LcAX_5zPwDA,Especialización en Gerencia de Proyectos | SNIES: 54013 - 106465 | Vigilada Mineducación,"Oct 23, 2019",14,3,0.0105,0,19,10.53
vQWjBVuy6G0,Ean International,"May 3, 2023",187,3,0.0209,0,307,0.98
uK9ue71IuoI,¿Cómo descargar tus certificaciones académicas en EXMA 2019?,"May 28, 2019",54,3,0.0141,0,13,23.08
W9Emx7FD638,Conviértete en estratega digital con una maestría enfocada en resultados,"Dec 13, 2025",54,3,0.0054,0,28,3.57
Mi5xbJ1MY6w,"Las noticias, las historias y los protagonistas en El Altavoz - Edición febrero 2024","Mar 22, 2024",115,3,0.0571,0,45,6.67
40cQZ-_3TE4,Cómo Rusia y Colombia dialogan hoy en tecnología y cooperación económica,"Jan 19, 2026",1559,3,0.4125,0,133,1.5
LEPS6L-pHFc,Programa doble grado con SIU,"Dec 2, 2021",109,3,0.0067,0,9,0
y9P4fVBqPF8,Maestría en Administración de Empresas de Salud | SNIES: 102894 | Vigilada Mineducación,"Oct 23, 2019",15,3,0.0086,0,24,12.5
dwTcWpG7n3U,"Turismo Sostenible: Menos postales, más experiencia real y conexión con las comunidades","Feb 2, 2026",51,3,0.0041,0,40,0
QO0kmC9CwC0,Panorama de la subredes de salud en Bogotá,"Aug 2, 2024",148,3,0.0536,0,42,4.76
f1kZprX7fNs,¿Cómo renovar el préstamo de libros en Biblioteca? / Tutorial,"Feb 15, 2019",135,3,0.038,0,57,5.26
ADEXrvZRyWU,Doctorado en Ingeniería de Procesos,"Aug 10, 2015",122,3,0.0667,0,22,13.64
cMu41AopX8w,"Arquitecto del nuevo edificio de la U, nos cuenta qué es #EANLegacy.","Sep 29, 2017",66,3,0.0403,0,13,0
RzBVp2Q7wuE,The Business Idea that Gave Birth to the Universidad Ean,"Sep 6, 2022",243,3,0.0889,0,52,1.92
nVAC4PKYilY,Carrera en Ingeniería en Energías | SNIES: 103103 | Vigilada Mineducación,"Oct 21, 2019",15,3,0.008,0,20,10
TwLzlEw1nGo,"¡Ellos son nuestros Graduados de la Ean, con nuestra alianza Corpadein!",,98,3,0.0656,0,0,
mZKJNJioHlE,Todos deberíamos tener espíritu emprendedor.,"May 31, 2018",92,3,0.0072,0,11,9.09
N9We1NTdPdY,"¡Conoce el Invernadero Ean, 🌳 un laboratorio vivo!","Nov 10, 2021",126,3,0.0161,0,16,12.5
AdiboM51A3k,Nuestro #EanLegacy y sede El Nogal en 360°,"Mar 9, 2020",31,3,0.0193,0,20,5
XGiHQiFJHOU,"✨ Primer día de la #SemanaE: inspiración, conexión y bienestar ✨","Oct 9, 2025",48,3,0.0135,0,21,4.76
6J3lGBiuMwM,"""Cambiar de lentes antes que cambiar de clientes"": Fernando Anzures","Mar 18, 2019",5755,3,0.0783,0,80,2.5
u0rjHgyJ7ww,En pocos días abriremos contigo un regalo que preparamos con orgullo. El 13 de enero lo conocerás. 📅,"Jan 2, 2026",20,3,0.0057,0,24,0
RM1R-jg8ZqM,Jornadas de inducción,"May 3, 2023",86,3,0.0237,0,82,3.66
gdlHEQyVVW0,Conoce la Esp. en Gerencia en Ciberseguridad de la Universidad Ean,"Jul 3, 2024",72,3,0.0461,0,28,0
yDsabmAADCY,Maestría en Gestión de la Educación Virtual Metodología Virtual,"Aug 10, 2015",145,3,0.0969,0,5,20
YFYkmfTuEyM,El cierre de año se viene con todo 🎾,"Oct 20, 2025",25,3,0.008,0,27,0
FBYtr17obZ4,Paola Acevedo es la nueva directora del Programa de Ingeniería Química,"Sep 25, 2023",100,3,0.039,0,28,0
AKtmjHpsobY,¡Una experiencia mágica! Así vivieron 5 eanistas su práctica profesional en Disney,"Apr 7, 2020",239,3,0.1837,0,22,9.09
myn2GyklqbI,"¡Eanista, Brigitte Baptiste te invita a disfrutar Ean X!","Feb 17, 2021",50,3,0.0248,0,36,2.78
FrV3QIODdBQ,¡Conoce todos nuestros programas!,"Nov 8, 2019",44,2,0.0157,0,16,12.5
2ijQ8hLNRas,Estudiantes EANISTAS desde Francia,"May 28, 2012",205,2,0.0136,0,14,7.14
gAUpGfjmZvg,Beneficios de cursar doble programa en la Universidad Ean,"Dec 17, 2018",71,2,0.0231,0,6,33.33
3eJ6amg_z6Q,El emprendedor que recorre el mundo llevando luz a comunidades vulnerables / Semana,"Nov 15, 2017",121,2,0.0209,0,11,0
s-qUTEnzJGU,La historia de la Universidad Ean: 53 años de éxitos,"Oct 27, 2020",89,2,0.0023,0,20,10
5d9iMPqVfeI,#Cátedras 2019: Impacto del régimen contable en las organizaciones,"Dec 7, 2018",7015,2,0.0193,0,10,0
Tn73Q4wHMnk,"No queremos exalumnos, queremos graduados que sigan creciendo con nosotros","Jul 18, 2025",692,2,0.2736,0,49,2.04
 -u11KwDO4no,¿Cómo hacer búsquedas avanzadas en la base de datos Harvard Deusto?,"Nov 6, 2019",179,2,0.0065,0,0,
JQdHL6u_QiA,Conoce los costos de no innovar,"May 3, 2019",89,2,0.006,0,55,3.64
0eGC7yDgwXo,Reflexiones sobre innovación y cambio climático por Brigitte Baptiste,"Mar 14, 2019",49,2,0.0261,0,7,28.57
5hD7h0UksQg,Vive la Universidad Ean,"May 3, 2023",77,2,0.0206,0,18,0
Ez-pJZj_Euc,¿Sigue siendo la UPC la cuestión de fondo?,"Apr 8, 2024",277,2,0.0668,0,19,10.53
8f55w38pBHg,¡Estudia en la U. Líder en Emprendimiento con Corpadein!,,63,2,0.0253,0,0,
RK2Yv4NFMbA,Carrera en Ingeniería de Sistemas | SNIES: 1984 - 102139 | Vigilada Mineducación,"Oct 21, 2019",15,2,0.0065,0,24,8.33
pLkkM49JKow,Egresada describe por qué estudiar en la Universidad EAN,"Apr 23, 2015",252,2,0.0295,0,45,2.22
XhAPLu3kFxw,Ean Sostenibilidad,"May 3, 2023",156,2,0.0415,0,15,6.67
B-gOldCSbhM,5 tips para hacer crowdfunding efectivo en Colombia / Emprendimiento,"Mar 21, 2018",132,2,0.0498,0,41,2.44
u9N8M6N50gI,"La Universidad EAN, una causa que hay que seguir","Oct 26, 2017",313,2,0.0923,0,27,7.41
cUMmlBusKP8,Estudiante extranjero nos cuenta su experiencia de intercambio en la Ean,"Dec 17, 2018",47,2,0.0155,0,17,11.76
PGt5IbDZ_-w,Egresado de la Especialización en Gobierno y Gerencia Pública,"Feb 3, 2017",364,2,0.041,0,24,8.33
YXENGo6uNEI,Conoce al nuevo decano de la Facultad de Ingeniería,"Sep 19, 2022",96,2,0.0266,0,31,3.23
U_S2rWY-8Zc,"Sesión 1: Seminario técnico: ""ABB Solar Days"" Diseño de plantas fotovoltaicas.","Feb 11, 2016",9307,2,0.0083,0,20,5
gDuV4DnzwNQ,Medicamentos en el plan de beneficios,"Nov 1, 2023",151,2,0.0433,0,21,0
f3LO2MFiM84,Reforma a la salud,"Oct 6, 2023",645,2,0.0323,0,7,0
6WR3PGV-iEo,Arriendo del MamBo: entre chismes e innovación,"Feb 28, 2018",192,2,0.004,0,10,10
WIB-I4KHooc,¿Listo para empezar tu aventura en la Ean?,,449,2,0.0025,0,4,0
cmybJWptWP8,Prepara tu 2026 con el #BlackDaysEan 📉,"Nov 10, 2025",40,2,0.0095,0,26,3.85
5HvaGQPaDD4,"Bogotá, ciudad que más reporta ciberdelitos en Colombia","Jun 22, 2023",118,2,0.049,0,11,9.09
 -pcUUu2DO2U,¿Cómo configurar audio del sistema operativo para Second Life?,"Jul 13, 2016",253,2,0.0133,0,24,0
Bi2VmLnWlJ8,El emprendimiento que se convirtió en la Universidad Ean,"Nov 27, 2023",454,2,0.0162,0,64,0
OsWZA3O3F6U,"Entrevista a Walter Munevar, egresado EANista de Ingeniería de Sistemas","Dec 9, 2014",272,2,0.0316,0,12,16.67
nHs58GSfZyg,El futuro no espera: aprovecha el Hot Sale EAN 🔥,"Oct 16, 2025",40,2,0.0013,0,51,0
FnQzvM9YOCs,Las carreras mejor pagas en Colombia,"Aug 8, 2023",191,2,0.0463,0,18,5.56
y_jdtTax-wM,"Yesid Fernando Patiño, nuevo director de tres programas de Ingeniería","May 27, 2024",98,2,0.033,0,31,0
yL10xpoOWek,Ceremonias de Graduación 2018 | Universidad EAN,"Oct 25, 2018",5704,2,0.0124,0,14,14.29
y9525joQ8uk,Somos una Universidad comprometida con la igualdad y la inclusión. 💚👏🏽,"Jul 26, 2024",28,2,0.0024,0,13,0
iBiYUFk9crk,Liderazgo de alto rendimiento: cómo la universidad impulsa el liderazgo del futuro,"Jul 7, 2025",1699,2,0.9405,0,64,0
eKkr7g4-kVM,¿Cómo realizar búsquedas básicas y avanzadas en EBSCO?,"Jul 26, 2019",386,2,0.1098,0,0,
EbM0vBrvvkE,"Ean Legacy, más que un referente de construcción sostenible","Apr 25, 2019",31,2,0.0087,0,94,2.13
OdygFZiEhmc,Actualiza tus habilidades y llega más lejos con la Ean,"Nov 25, 2025",13,2,0.0019,0,19,0
mnIBATGZZHc,Beneficios de homologar en la Universidad Ean,"Aug 2, 2019",58,2,0.026,0,11,9.09
hSaH_x3lKYw,¡El Altavoz en 60 Segundos! Edición mayo de 2023,"Jun 30, 2023",84,2,0.0096,0,27,7.41
jriETi70cXU,Cápsula 2 intercambio incoming,"Mar 31, 2023",138,2,0.0192,0,10,10
IDBs6r84_BI,Conoce el impacto que originan los paneles solares de la Universidad Ean,"Jul 5, 2024",113,2,0.0338,0,40,2.5
pGBOsSqRwl8,"Edisson Jaimes, un eanista destacado con la distinción Summa cum laude","Jan 29, 2024",130,2,0.0396,0,18,5.56
LwhYu5nqrfY,Programa de Práctica Profesional en el Exterior,"Oct 27, 2015",186,2,0.0726,0,12,8.33
sReKEQhLvEI,Bootcamp Saber Pro,,34,2,0.0101,0,0,
JFZ-9e0cvPY,Política de diversidades,,73,2,0.008,0,0,
T4gTM2_a5-o,¡Los contadores públicos eanistas ahora podrán ser bilingües!,"Oct 17, 2023",352,2,0.1091,0,14,7.14
O-O0S6nt9wY,7 frases en inglés para sobrevivir en cualquier viaje,"Sep 29, 2022",125,2,0.0605,0,10,0
k8aNNC0Z0pI,¡Revive lo mejor de la ceremonia de graduación  2019-1!,"Apr 24, 2019",55,2,0.0221,0,38,2.63
tSUpLhCtnek,¡El Ean Legacy es único!,"Jan 7, 2021",30,2,0.0063,0,50,2
mVrsxntff-0,Retos en la administración en salud,"Dec 7, 2023",11855,2,0.0399,0,19,5.26
M8SU5yhg6dE,Omar Patiño | Cable Noticias | El nuevo peso.,"Feb 27, 2018",201,2,0.0122,0,7,14.29
cHuDUjNcVdA,Información sobre prácticas profesionales en la Universidad EAN,"Sep 18, 2015",4189,2,0.0014,0,7,0
3WE16i-Q4Nw,¿Los robots te dejarán sin trabajo? Esta es la clave para que no te pase,"Jun 25, 2019",139,2,0.0249,0,10,20
GRo3iIio5no,Todos somos protagonistas en El Altavoz: edición abril 2024,"May 10, 2024",207,2,0.0182,0,51,3.92
eJur1EnhwM4,#EanInternacional 🌎 ✈ I Los eanistas vibran alrededor del mundo con la Universidad Ean.,"Sep 29, 2022",153,2,0.0159,0,36,0
8px61kMiBTU,¡Conoce más sobre la Defensoría Universitaria!,"Jan 11, 2024",98,2,0.0265,0,11,0
r5o7VCA1u5c,¡Conoce nuestra Política de Sostenibilidad y Emprendimiento Sostenible!,"Aug 13, 2020",170,2,0.0939,0,10,10
8SDjP2IqyTw,Dengue en Colombia ¿Qué dicen los expertos?,"Aug 23, 2023",318,2,0.0593,0,90,1.11
nyeqmFa3Gf4,¡Conoce las Microcredenciales Ean!,"Aug 24, 2023",110,2,0.0422,0,42,0
7dgwF9hsTCs,Maestría en Innovación | SNIES: 101871 | Vigilada Mineducación,"Oct 23, 2019",14,2,0.0073,0,20,10
70OHIXpeVrI,Lanzamiento Ean Virtual 2.0,,44,2,0.0233,0,0,
tfc2HovHldc,¿Por qué es importante el propósito de vida? Juan Pablo Gaviria compartió su experiencia,"Apr 3, 2019",94,2,0.0278,0,8,12.5
HNuCGaA17Zw,Conferencia: Management del Futuro,"Nov 9, 2023",7086,2,0.0117,0,29,3.45
9N20A5v-h2c,"Universidad Ean, patrocinador oficial del equipo femenino de Millonarios FC","May 3, 2023",69,2,0.0175,0,26,7.69
ryHU7z4wTno,Con la cualificación ACCA de la Ean serás un profesional de nivel internacional,"Apr 25, 2023",207,2,0.0903,0,17,5.88
I3nPunA46M4,Diego Rubiano y los bolsos que reflejan las diversidades y oportunidades,"Dec 13, 2023",225,2,0.0753,0,113,0
ENuB6h7IAtI,Administración de Empresas,"Apr 29, 2015",146,2,0.0194,0,13,15.38
_96UaDAuJUY,Aplicación de la Universidad EAN,"Jan 24, 2018",34,2,0.0136,0,8,12.5
I9q49vE5Wjo,Fenómeno de El Niño,"Aug 2, 2023",92,2,0.0275,0,13,15.38
JRcICYC2Lmo,Criptomonedas: ¿una nueva pirámide?,"Feb 12, 2018",82,2,0.006,0,9,0
X6dI7GHtNa8,Emprendimiento femenino y VC4A,"Mar 12, 2024",866,2,0.2409,0,16,0
mUVfNpTDGPg,Cápsula 1 intercambio incoming,"Mar 31, 2023",119,2,0.0077,0,7,14.29
OEljldUD2YA,¡Estudia nuestra carrera profesional en Ingeniería de Sistemas!,,46,2,0.0147,0,0,
gorw5CuL54E,De estudiar Economía en la U. Ean a trabajar en una multinacional,"Nov 25, 2019",71,2,0.0078,0,43,4.65
K9TozBsY4_s,¡Gastar menos y mejor! 6 tips infalibles para ahorrar,"Mar 5, 2018",88,2,0.007,0,8,25
X_XAOTMTZpM,Tutores de éxito - Universidad Ean,,48,2,0.0241,0,0,
j8D6_xCfmnU,Familias campesinas le sacan provecho a la leche de cabra / Semana,"Oct 31, 2017",117,2,0.0575,0,23,8.7
X-KseR_TzIQ,¿Cómo hacer búsquedas básicas y avanzadas en Oxford Academic? / Tutorial,"Aug 14, 2019",297,2,0.0297,0,0,
CX7N985WEyg,"Amay Chocolates, un emprendimiento que muestra la transformación del campo en Colombia","Sep 2, 2022",133,2,0.0073,0,33,0
HzFziT2jIto,"Cradle to cradle®, nuevo modelo de desarrollo","Sep 20, 2017",1002,2,0.2477,0,14,14.29
4lV_bRMIFxQ,Decana Luz Marina Sanchez de la U.EAN nos habla sobre alta calidad,"Apr 20, 2017",352,1,0.0544,0,11,9.09
qfTjF18j5Yw,"Precio de la gasolina en Colombia, impacto y recomendaciones para la ciudadanía","Aug 29, 2023",349,1,0.0033,0,6,16.67
tvMepDtfNc0,El emprendedor eanista que mezcla las tradiciones ancestrales con el desarrollo industrial,"Mar 6, 2023",172,1,0.0477,0,8,0
fnKo1OwXgJY,Lanzamiento del curso Escuela de mujeres y hombres construyendo equidad,"Feb 22, 2024",88,1,0.0034,0,13,0
n6zJtyslea0,Tutorial ¿Cómo renovar en línea el catálogo SIBEAN? | Biblioteca | Universidad EAN,"Jun 13, 2018",142,1,0.0039,0,16,0
sj4su4_xwdI,Energías renovables para ‘dummies’… y para presidenciables,"May 25, 2018",133,1,0.0349,0,14,0
FBzljveao1c,Así es el sistema fotovoltaico universitario más grande de Bogotá,"Feb 10, 2020",105,1,0.0189,0,6,0
cBAsc72CO0Q,Reaceico y su misión de convertir el aceite en biodiesel,"Oct 22, 2018",51,1,0.0131,0,10,10
Sp-zyJA0ivI,"Sesión 3: Seminario técnico: ""ABB Solar Days"" Diseño de plantas fotovoltaicas.","Feb 12, 2016",2476,1,0.001,0,12,8.33
gYBJBK7SCxA,Inglés de Alta Calidad en la Universidad Ean,"Jul 12, 2019",7,1,0.0017,0,7,14.29
JlpYoWRGJOU,¡El Altavoz en 60 segundos! Edición julio de 2022,,79,1,0.0027,0,10,10
bfXY5vKjlls,Programa de Intercambio Académico Internacional de Largo Plazo para estudiantes EANistas,"Oct 27, 2015",166,1,0.0356,0,5,20
40RUqyG6ubo,Internacionalización - Universidad Ean,"Dec 18, 2018",101,1,0.0274,0,4,25
h9CATtjyZZI,1.9  La creación de una historia de agravio | #EanX,,645,1,0.0017,0,0,
fogn5xtyp0I,Elección de representantes de docentes ante el Consejo Académico - Plancha 1,"Mar 10, 2017",72,1,0.0199,0,5,20
PtImv0w62Ss,¿Cuál es el rol como estudiante virtual y cómo solicito el material?,"Jul 30, 2012",231,1,0.0031,0,20,5
hvUyP5yPc3w,¡El Altavoz en 60 segundos! Edición febrero de 2023,,87,1,0.0014,0,14,7.14
n0xkY4nHwe0,1.11  Perdonar es contar una nueva historia | #EanX,,643,1,0.0018,0,0,
I2LxvpkT_nU,El snack que se convirtió en emprendimiento sostenible,"Oct 22, 2018",29,1,0.0007,0,10,10
cEDm123AsEI,Proyectos de desarrollo sostenible con apoyo de Estados Unidos,"Nov 28, 2016",28,1,0.0049,0,16,0
L_-vwR4xGKI,Día de la Mujer 2024,"Mar 8, 2024",104,1,0.0178,0,21,4.76
SO33JaMlmPs,¡Esto es todo lo que tienes que saber sobre las #5EstrellasEan de #QSStars! 💚🌟,,161,1,0.0053,0,0,
7pBE8xkAglc,El emprendimiento que se convirtió en la Universidad Ean (subtitulado),"Dec 11, 2023",256,1,0.0012,0,13,0
UnkQocLM2Tc,Expertos opinan sobre las variaciones del precio del petróleo,"Feb 6, 2019",130,1,0.0108,0,16,6.25
YM14IsNNiaU,¡Llegamos a las 100 entradas en nuestro blog de Portafolio!,"Jul 13, 2020",68,1,0.0055,0,4,0
9uhhqC5Qq3M,"Noche de gala, 57 años","Dec 4, 2024",113,1,0.0058,0,36,2.78
lAXj_GVZURs,Servicio de Apoyo Psicopedagógico,"Aug 1, 2023",49,1,0.0119,0,18,5.56
sBwNztPy1AY,¿Cómo hacer búsquedas avanzadas en la base de datos SAGE Knowledge?,"Nov 6, 2019",169,1,0.0062,0,0,
aBi8dMzZO8I,Maestría en Administración de Empresas de Salud | SNIES: 102894 | Vigilada Mineducación,"Oct 23, 2019",7,1,0.0003,0,8,12.5
bP4B0GWHQ8k,"La receta del éxito, según un economista eanista","Nov 25, 2019",60,1,0.0058,0,7,0
U16yErsu1sY,Charla sobre acoso y violencia escolar,"Jun 14, 2024",734,1,0.0064,0,25,0
m6xKiaAEAqw,"Camilo Rocha, Miembro del semillero de investigación 'Green Politics'","Sep 26, 2016",62,1,0.0028,0,7,0
Q0GmiIh0f9M,Las carreras del futuro,"Sep 18, 2023",230,1,0.0636,0,8,0
wfzMXwVhtKQ,"Kolado Caffe, una nueva forma de consumir el café colombiano","Oct 25, 2022",156,1,0.0431,0,17,0
bwMKN0NE3N0,Diplomado en e-Commerce y Marketing Digital de la Universidad Ean,"Jul 16, 2019",7,1,0.0017,0,15,6.67
DbURxfO422o,¡El Altavoz en 60 segundos! Edición agosto de 2022,"Sep 22, 2022",73,1,0.0011,0,15,6.67
 -X8QduPILQw,El mercadeo en las tiendas de barrio,"Jul 7, 2023",829,1,0.024,0,11,0
